loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,ra,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate,pl_facility,fst_logg
384,HD 109246,b,HD 109246 b,Radial Velocity,0,1,68.27,0.33,0.12,231.6472001,0.86,18.16862433,42.26987464,0,0,0,188.029953,74.489548,67.97,8.77,V (Johnson),5844,1.2,1.07,06-09-2018,Haute-Provence Observatory,4.46
385,HD 109271,b,HD 109271 b,Radial Velocity,0,2,7.8543,0.079,0.25,168.5911652,0.054,81.64198275,177.7440547,0,0,0,188.398148,-11.621868,55.96,8.055,V (Johnson),5783,1.05,138.489569,14-05-2014,La Silla Observatory,4.28
386,HD 109271,c,HD 109271 c,Radial Velocity,0,2,30.93,0.196,0.15,99.5731866,0.076,218.663391,137.6310422,0,0,0,188.398148,-11.621868,55.96,8.055,V (Johnson),5783,1.05,54.78671756,14-05-2014,La Silla Observatory,4.28
387,HD 109749,b,HD 109749 b,Radial Velocity,0,1,5.239891,0.0615,0,62.74276203,0.27,32.5029559,129.0636851,0,0,0,189.318237,-40.812115,63.2,8.08,V (Johnson),5824,1.13,1.22,27-09-2018,W. M. Keck Observatory,4.31
388,HD 110014,b,HD 110014 b,Radial Velocity,0,1,835.477,2.14,0.462,77.97487333,11.09,50.30652317,311.0955909,0,0,0,189.811523,-7.995564,100.98,4.66,V (Johnson),4445,2.17,20.9,14-05-2014,La Silla Observatory,2.1
389,HD 111232,b,HD 111232 b,Radial Velocity,0,1,1143,1.97,0.2,105.3444149,7.14,280.0123986,3.992637473,0,0,0,192.215637,-68.425148,28.98,7.59,V (Johnson),5512,0.84,0.9,06-09-2018,La Silla Observatory,4.45
390,HD 111591,b,HD 111591 b,Radial Velocity,0,1,1056.4,2.5,0.26,279.6073525,4.4,304.4036956,257.084262,0,0,0,192.572067,22.863407,114.54,6.427,V (Johnson),4884,1.94,8.03,30-11-2017,Multiple Observatories,3.1
391,HD 111998,b,HD 111998 b,Radial Velocity,0,1,825.9,1.82,0.03,61.27275724,4.51,329.2934403,246.7732045,0,0,0,193.296494,-3.553098,33.26,6.11,V (Johnson),6557,1.18,1.45,08-09-2016,La Silla Observatory,4.19
392,HD 113337,b,HD 113337 b,Radial Velocity,0,1,324,0.92,0.46,90.7269142,2.83,299.3061658,10.20693428,0,0,0,195.445526,63.610226,36.22,6.008,V (Johnson),6576.6,1.4,1.5,14-05-2014,Haute-Provence Observatory,4.21
393,HD 113538,b,HD 113538 b,Radial Velocity,0,2,663.2,1.24,0.14,146.8970491,0.36,322.8027585,229.2472227,0,0,0,196.239487,-52.442924,15.9,9.057,V (Johnson),4462,0.58,0.53,08-01-2015,La Silla Observatory,3.79
394,HD 113538,c,HD 113538 c,Radial Velocity,0,2,1818,2.44,0.2,150.8744844,0.93,326.2425822,315.1677698,0,0,0,196.239487,-52.442924,15.9,9.057,V (Johnson),4462,0.58,0.53,08-01-2015,La Silla Observatory,3.79
395,HD 113996,b,HD 113996 b,Radial Velocity,0,1,610.2,1.6,0.28,277.3558539,6.3,147.1155704,301.3621517,0,0,0,196.794708,27.624741,116.34,4.82,V (Johnson),4181,1.49,25.11,30-11-2017,Bohyunsan Optical Astronomical Observatory,1.86
396,HD 114386,b,HD 114386 b,Radial Velocity,0,1,937.70001,1.73,0.23,17.98683196,1.14,269.1835253,91.50297337,0,0,0,197.665924,-35.054783,27.95,8.73,V (Johnson),4836,0.6,0.76,06-09-2018,La Silla Observatory,4.45
397,HD 114613,b,HD 114613 b,Radial Velocity,0,1,4000,5.34,0.458,23.56806541,0.357,166.928528,99.63695116,0,0,0,198.013275,-37.80302,20.29,4.85,V (Johnson),5641,1.27,2.14,06-12-2018,Anglo-Australian Telescope,3.87
398,HD 114729,b,HD 114729 b,Radial Velocity,0,1,1121.79,2.067,0.079,230.1658015,0.825,63.57133832,147.3341466,0,0,0,198.184402,-31.873348,37.85,6.687,V (Johnson),5844,0.94,1.47,27-06-2019,W. M. Keck Observatory,4.05
399,HD 114762,b,HD 114762 b,Radial Velocity,0,1,83.9151,0.36,0.34,288.6020667,10.69,3.563993537,23.40406448,0,0,0,198.08226,17.517122,40.23,7.301,V (Johnson),5869,0.8,1.2,06-09-2018,Oak Ridge Observatory,4.18
400,HD 114783,b,HD 114783 b,Radial Velocity,0,2,493.7,1.16,0.144,200.7472053,1.1,56.82107016,142.1939364,0,0,0,198.182434,-2.26504,20.4,7.55,V (Johnson),5135,0.85,306.3124117,14-05-2014,W. M. Keck Observatory,4.57
401,HD 114783,c,HD 114783 c,Radial Velocity,0,2,4319,211.1282631,0,227.4665913,0.611,100.4035045,113.8195843,0,0,0,198.182434,-2.26504,20.4,7.55,V (Johnson),5135,0.85,224.9088788,29-11-2018,W. M. Keck Observatory,4.57
402,HD 11506,b,HD 11506 b,Radial Velocity,0,2,1622.1,2.9,0.3743,193.0343347,4.83,228.6974746,262.8879676,0,0,0,28.210558,-19.506975,51.34,7.51,V (Johnson),6030,1.24,1.34,27-09-2018,W. M. Keck Observatory,4.43
403,HD 11506,c,HD 11506 c,Radial Velocity,0,2,223.41,0.774,0.193,123.5291111,0.408,315.4876236,16.51007514,0,0,0,28.210558,-19.506975,51.34,7.51,V (Johnson),6030,1.24,1.34,27-09-2018,W. M. Keck Observatory,4.43
404,HD 116029,b,HD 116029 b,Radial Velocity,0,2,670,1.65,0,20.14756173,1.4,264.7547813,157.1373885,0,0,0,200.164764,24.648699,123.68,8.04,V (Johnson),4819,0.83,4.89,06-09-2018,W. M. Keck Observatory,2.98
405,HD 116029,c,HD 116029 c,Radial Velocity,0,2,907,159.1257291,0.038,282.1509071,1.27,187.2101836,100.6757857,0,0,0,200.164764,24.648699,123.68,8.04,V (Johnson),4819,0.83,4.89,29-11-2018,W. M. Keck Observatory,2.98
406,HD 117207,b,HD 117207 b,Radial Velocity,0,1,2621.75,3.787,0.157,111.8970752,1.926,173.2025229,249.94181,0,0,0,202.337967,-35.570995,32.38,7.24,V (Johnson),5732,1.05,1.07,27-06-2019,W. M. Keck Observatory,4.37
407,HD 11755,b,HD 11755 b,Radial Velocity,0,1,433.70001,1.09,0.19,279.5203913,5.63,15.28374515,246.6940188,0,0,0,29.708696,73.152382,236.64,6.87,V (Johnson),4312,0.72,20.58,06-09-2018,Bohyunsan Optical Astronomical Observatory,1.67
408,HD 117618,b,HD 117618 b,Radial Velocity,0,1,25.8,0.18,0.15,313.669078,0.174,117.4568864,289.8152092,0,0,0,203.106476,-47.271362,37.82,7.169,V (Johnson),5990,1.08,85.19779645,14-03-2019,Anglo-Australian Telescope,4.41
409,HD 118203,b,HD 118203 b,Radial Velocity,0,1,6.1335,0.07,0.31,228.8475968,2.79,88.08304606,33.81870694,0,0,0,203.510574,53.728531,92.51,8.05,V (Johnson),5864,1.84,2.06,06-09-2018,Haute-Provence Observatory,4.08
410,HD 119130,b,HD 119130 b,Transit,0,1,16.9841,0.13,0.04,88.4,0.07709,0.235,7.4,0,0,1,205.376266,-9.946078,114.29,9.917,V (Johnson),5725,1,1.09,07-02-2019,Kepler,4.33
411,HD 11964,b,HD 11964 b,Radial Velocity,0,2,1945,3.16,0.041,44.88949497,0.622,137.3195813,209.1194833,0,0,0,29.290026,-10.242428,33.57,6.42,V (Johnson),5349,1.12,100.4796858,31-01-2019,W. M. Keck Observatory,4.03
412,HD 11964,c,HD 11964 c,Radial Velocity,0,2,37.91,0.229,0.3,282.6033477,0.0788,296.8934166,266.0020626,0,0,0,29.290026,-10.242428,33.57,6.42,V (Johnson),5349,1.12,323.4339676,31-01-2019,W. M. Keck Observatory,4.03
413,HD 11977,b,HD 11977 b,Radial Velocity,0,1,711,1.93,0.4,235.9626567,6.54,103.2324875,70.12902394,0,0,0,28.733881,-67.647301,68.05,4.69,V (Johnson),4970,1.91,10.09,31-01-2019,La Silla Observatory,2.9
414,HD 120084,b,HD 120084 b,Radial Velocity,0,1,2082,4.3,0.66,250.5088463,4.5,301.7775552,303.2387045,0,0,0,205.663345,78.064438,103.35,5.899,V (Johnson),4892,2.39,9.12,14-05-2014,Okayama Astrophysical Observatory,2.71
415,HD 121504,b,HD 121504 b,Radial Velocity,0,1,63.33,0.33,0.03,172.7183681,1.51,154.4086605,70.01207756,0,0,0,209.321823,-56.040043,41.71,7.517,V (Johnson),6027,1.62,1.07,06-09-2018,La Silla Observatory,4.59
416,HD 12484,b,HD 12484 b,Radial Velocity,0,1,58.83,0.297,0.07,199.6480234,2.98,225.1322124,296.158176,0,0,0,30.611374,2.815859,51.1,8.17,V (Johnson),5920,1.01,131.8088927,25-02-2016,Haute-Provence Observatory,4.65
417,HD 125390,b,HD 125390 b,Radial Velocity,0,1,1756.2,3.16,0.591,211.26577,22.16,160.5555338,56.11674745,0,0,0,214.538834,38.966976,154.33,8.206,V (Johnson),4850,1.36,6.47,07-11-2019,W. M. Keck Observatory,3.13
418,HD 125595,b,HD 125595 b,Radial Velocity,0,1,9.6737,0.08,0,131.8654124,0.02,166.3879598,68.0784621,0,0,0,215.346603,-40.393948,28.22,9.03,V (Johnson),4691,0.29,0.74,06-09-2018,La Silla Observatory,4.17
